"МО (КОД)","МО (НАИМЕН.)","СМО (код)","СМО (наим.)","Кол-во счетов","Сумма"
"15574","ГБУЗ ""ТСП"" МЗ КК","1707","Краснодарский филиал ООО ВТБ МС","4","6 971,60"
"15574","ГБУЗ ""ТСП"" МЗ КК","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","712","901 854,46"
"16005","ГБУЗ ""Абинская центральная районная больница"" МЗ КК","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","52 566","37 110 753,64"
"16005","ГБУЗ ""Абинская центральная районная больница"" МЗ КК","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","546","306 204,38"
"16005","ГБУЗ ""Абинская центральная районная больница"" МЗ КК","1707","Краснодарский филиал ООО ВТБ МС","8 142","5 478 460,16"
"16005","ГБУЗ ""Абинская центральная районная больница"" МЗ КК","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","300","149 733,82"
"17020","ГБУЗ ""Центральная районная больница Апшеронского района"" МЗ КК","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","52 536","35 548 545,78"
"17020","ГБУЗ ""Центральная районная больница Апшеронского района"" МЗ КК","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","206","203 740,36"
"17020","ГБУЗ ""Центральная районная больница Апшеронского района"" МЗ КК","1707","Краснодарский филиал ООО ВТБ МС","3 540","3 398 907,48"
"17020","ГБУЗ ""Центральная районная больница Апшеронского района"" МЗ КК","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","244","256 181,94"
"17022","ООО ""Апшеронская районная стоматологическая поликлиника""","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","2 252","2 619 831,00"
"17022","ООО ""Апшеронская районная стоматологическая поликлиника""","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","6","10 453,38"
"17022","ООО ""Апшеронская районная стоматологическая поликлиника""","1707","Краснодарский филиал ООО ВТБ МС","222","226 778,76"
"17022","ООО ""Апшеронская районная стоматологическая поликлиника""","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","8","9 346,70"
"17544","ГБУЗ ""Хадыженская стоматологическая поликлиника"" МЗ КК","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","1 524","1 291 097,30"
"17544","ГБУЗ ""Хадыженская стоматологическая поликлиника"" МЗ КК","1707","Краснодарский филиал ООО ВТБ МС","126","100 049,30"
"17544","ГБУЗ ""Хадыженская стоматологическая поликлиника"" МЗ КК","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","12","10 662,00"
"18001","ГБУЗ ""Белоглинская центральная районная больница"" МЗ КК","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","19 972","11 824 649,62"
"18001","ГБУЗ ""Белоглинская центральная районная больница"" МЗ КК","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","68","38 048,90"
"18001","ГБУЗ ""Белоглинская центральная районная больница"" МЗ КК","1707","Краснодарский филиал ООО ВТБ МС","648","410 447,62"
"18001","ГБУЗ ""Белоглинская центральная районная больница"" МЗ КК","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","26","0,00"
"18005","ГБУЗ  ""Белоглинская стоматологическая поликлиника"" МЗ КК","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","1 950","1 657 030,76"
"18005","ГБУЗ  ""Белоглинская стоматологическая поликлиника"" МЗ КК","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","14","4 738,70"
"18005","ГБУЗ  ""Белоглинская стоматологическая поликлиника"" МЗ КК","1707","Краснодарский филиал ООО ВТБ МС","74","49 525,88"
"19032","ГБУЗ "" Брюховецкая центральная районная больница"" Министерства здравоохранения Краснодарского края","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","33 908","18 996 347,54"
"19032","ГБУЗ "" Брюховецкая центральная районная больница"" Министерства здравоохранения Краснодарского края","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","134","3 239,20"
"19032","ГБУЗ "" Брюховецкая центральная районная больница"" Министерства здравоохранения Краснодарского края","1707","Краснодарский филиал ООО ВТБ МС","5 180","2 806 742,88"
"19032","ГБУЗ "" Брюховецкая центральная районная больница"" Министерства здравоохранения Краснодарского края","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","328","194 805,30"
"20011","ГБУЗ ""Выселковская центральная районная больница имени заслуженного врача РФ В.Ф. Долгополова"" МЗ КК","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","51 314","46 511 500,70"
"20011","ГБУЗ ""Выселковская центральная районная больница имени заслуженного врача РФ В.Ф. Долгополова"" МЗ КК","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","256","842 537,44"
"20011","ГБУЗ ""Выселковская центральная районная больница имени заслуженного врача РФ В.Ф. Долгополова"" МЗ КК","1707","Краснодарский филиал ООО ВТБ МС","192","1 545 793,74"
"20011","ГБУЗ ""Выселковская центральная районная больница имени заслуженного врача РФ В.Ф. Долгополова"" МЗ КК","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","16 696","13 763 231,46"
"20500","ООО ""Выселковская стоматологическая поликлиника""","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","1 894","4 993 386,18"
"20500","ООО ""Выселковская стоматологическая поликлиника""","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","14","38 951,66"
"20500","ООО ""Выселковская стоматологическая поликлиника""","1707","Краснодарский филиал ООО ВТБ МС","4","11 909,00"
"20500","ООО ""Выселковская стоматологическая поликлиника""","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","602","1 529 220,22"
"21014","ГБУЗ Гулькевичская центральная районная больница МЗ КК","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","64 810","42 992 314,16"
"21014","ГБУЗ Гулькевичская центральная районная больница МЗ КК","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","54","54 676,74"
"21014","ГБУЗ Гулькевичская центральная районная больница МЗ КК","1707","Краснодарский филиал ООО ВТБ МС","158","70 647,54"
"21014","ГБУЗ Гулькевичская центральная районная больница МЗ КК","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","148","180 060,66"
"21049","ГАУЗ ""Гулькевичская стоматологическая поликлиника"" МЗ КК","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","5 812","4 097 832,18"
"21049","ГАУЗ ""Гулькевичская стоматологическая поликлиника"" МЗ КК","1707","Краснодарский филиал ООО ВТБ МС","6","3 068,56"
"21049","ГАУЗ ""Гулькевичская стоматологическая поликлиника"" МЗ КК","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","16","10 613,68"
"22001","ГБУЗ ""Динская центральная районная больница""  министерства зравоохранения Краснодарского края","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","75 928","47 326 126,90"
"22001","ГБУЗ ""Динская центральная районная больница""  министерства зравоохранения Краснодарского края","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","2 352","1 306 957,86"
"22001","ГБУЗ ""Динская центральная районная больница""  министерства зравоохранения Краснодарского края","1707","Краснодарский филиал ООО ВТБ МС","546","464 004,88"
"22001","ГБУЗ ""Динская центральная районная больница""  министерства зравоохранения Краснодарского края","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","22 386","13 097 344,06"
"23001","ГБУЗ ""Кавказская центральная районная больница""  МЗ КК","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","43 344","25 271 666,56"
"23001","ГБУЗ ""Кавказская центральная районная больница""  МЗ КК","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","90","105 116,38"
"23001","ГБУЗ ""Кавказская центральная районная больница""  МЗ КК","1707","Краснодарский филиал ООО ВТБ МС","56","30 773,86"
"23001","ГБУЗ ""Кавказская центральная районная больница""  МЗ КК","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","1 562","1 262 895,96"
"23502","ГБУЗ ""Городская больница г.Кропоткина"" МЗ КК","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","56 428","40 278 438,96"
"23502","ГБУЗ ""Городская больница г.Кропоткина"" МЗ КК","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","106","110 874,08"
"23502","ГБУЗ ""Городская больница г.Кропоткина"" МЗ КК","1707","Краснодарский филиал ООО ВТБ МС","176","174 249,46"
"23502","ГБУЗ ""Городская больница г.Кропоткина"" МЗ КК","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","8 728","6 614 998,76"
"23511","НУЗ ""Узловая поликлиника на станции Кавказская открытого акционерного общества ""Российские железные дороги""","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","6 016","2 468 263,72"
"23511","НУЗ ""Узловая поликлиника на станции Кавказская открытого акционерного общества ""Российские железные дороги""","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","30","13 702,92"
"23511","НУЗ ""Узловая поликлиника на станции Кавказская открытого акционерного общества ""Российские железные дороги""","1707","Краснодарский филиал ООО ВТБ МС","2","0,00"
"23511","НУЗ ""Узловая поликлиника на станции Кавказская открытого акционерного общества ""Российские железные дороги""","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","706","411 222,84"
"23519","ГБУЗ ""Станция скорой медицинской помощи Кавказского района"" МЗ КК","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","7 544","0,00"
"23519","ГБУЗ ""Станция скорой медицинской помощи Кавказского района"" МЗ КК","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","22","0,00"
"23519","ГБУЗ ""Станция скорой медицинской помощи Кавказского района"" МЗ КК","1707","Краснодарский филиал ООО ВТБ МС","24","0,00"
"23519","ГБУЗ ""Станция скорой медицинской помощи Кавказского района"" МЗ КК","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","960","0,00"
"24009","ГБУЗ ""Калининская центральная  районная больница"" Министерства здравоохранения Краснодарского края","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","36 652","23 448 054,28"
"24009","ГБУЗ ""Калининская центральная  районная больница"" Министерства здравоохранения Краснодарского края","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","388","109 870,98"
"24009","ГБУЗ ""Калининская центральная  районная больница"" Министерства здравоохранения Краснодарского края","1707","Краснодарский филиал ООО ВТБ МС","134","66 029,28"
"24009","ГБУЗ ""Калининская центральная  районная больница"" Министерства здравоохранения Краснодарского края","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","96","123 349,60"
"25034","Государственное бюджетное учреждение здравоохранения""Каневская центральная районная больница"" министерства здравоохранения Краснодарского края","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","41 628","26 726 134,96"
"25034","Государственное бюджетное учреждение здравоохранения""Каневская центральная районная больница"" министерства здравоохранения Краснодарского края","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","208","387 468,72"
"25034","Государственное бюджетное учреждение здравоохранения""Каневская центральная районная больница"" министерства здравоохранения Краснодарского края","1707","Краснодарский филиал ООО ВТБ МС","14 770","9 254 776,98"
"25034","Государственное бюджетное учреждение здравоохранения""Каневская центральная районная больница"" министерства здравоохранения Краснодарского края","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","25 870","17 051 393,46"
"25035","ООО ""Каневская стоматологическая поликлиника ""","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","4 186","4 318 201,44"
"25035","ООО ""Каневская стоматологическая поликлиника ""","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","22","22 930,80"
"25035","ООО ""Каневская стоматологическая поликлиника ""","1707","Краснодарский филиал ООО ВТБ МС","1 534","1 569 903,94"
"25035","ООО ""Каневская стоматологическая поликлиника ""","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","2 336","2 424 995,68"
"26001","ГБУЗ ""Кореновская центральная районная больница"" Министерства здравоохранения Краснодарского края","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","58 470","36 009 850,46"
"26001","ГБУЗ ""Кореновская центральная районная больница"" Министерства здравоохранения Краснодарского края","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","390","235 416,62"
"26001","ГБУЗ ""Кореновская центральная районная больница"" Министерства здравоохранения Краснодарского края","1707","Краснодарский филиал ООО ВТБ МС","166","95 743,48"
"26001","ГБУЗ ""Кореновская центральная районная больница"" Министерства здравоохранения Краснодарского края","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","7 458","5 544 519,78"
"27035","ГБУЗ ""КРАСНОАРМЕЙСКАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА"" МЗ КК","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","74 202","40 510 030,54"
"27035","ГБУЗ ""КРАСНОАРМЕЙСКАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА"" МЗ КК","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","7 416","3 011 731,68"
"27035","ГБУЗ ""КРАСНОАРМЕЙСКАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА"" МЗ КК","1707","Краснодарский филиал ООО ВТБ МС","9 506","5 257 480,38"
"27035","ГБУЗ ""КРАСНОАРМЕЙСКАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА"" МЗ КК","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","1 726","798 980,36"
"28009","ГБУЗ ""Крыловская центральная районная больница"" МЗ КК","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","33 108","22 484 758,28"
"28009","ГБУЗ ""Крыловская центральная районная больница"" МЗ КК","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","96","87 666,34"
"28009","ГБУЗ ""Крыловская центральная районная больница"" МЗ КК","1707","Краснодарский филиал ООО ВТБ МС","3 420","2 233 552,94"
"28009","ГБУЗ ""Крыловская центральная районная больница"" МЗ КК","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","20","11 867,28"
"28500","ГБУЗ ""Крыловская стоматологическая поликлиника"" МЗ КК","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","342","455 449,94"
"28500","ГБУЗ ""Крыловская стоматологическая поликлиника"" МЗ КК","1707","Краснодарский филиал ООО ВТБ МС","30","30 006,02"
"29001","ГБУЗ ""Курганинская центральная районная больница"" МЗ КК","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","52 416","35 464 697,68"
"29001","ГБУЗ ""Курганинская центральная районная больница"" МЗ КК","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","176","38 794,02"
"29001","ГБУЗ ""Курганинская центральная районная больница"" МЗ КК","1707","Краснодарский филиал ООО ВТБ МС","9 736","2 749 948,00"
"29001","ГБУЗ ""Курганинская центральная районная больница"" МЗ КК","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","154","1 969,20"
"29004","ГАУЗ ""Курганинская районная стоматологическая поликлиника"" МЗ КК","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","3 266","4 219 160,14"
"29004","ГАУЗ ""Курганинская районная стоматологическая поликлиника"" МЗ КК","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","12","12 683,52"
"29004","ГАУЗ ""Курганинская районная стоматологическая поликлиника"" МЗ КК","1707","Краснодарский филиал ООО ВТБ МС","606","836 766,20"
"29004","ГАУЗ ""Курганинская районная стоматологическая поликлиника"" МЗ КК","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","8","8 222,86"
"30009","Государственное бюджетное учреждение здравоохранения ""Кущевская центральная районная больница"" министерства здравоохранения Краснодарского края","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","40 256","25 931 375,78"
"30009","Государственное бюджетное учреждение здравоохранения ""Кущевская центральная районная больница"" министерства здравоохранения Краснодарского края","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","120","68 745,70"
"30009","Государственное бюджетное учреждение здравоохранения ""Кущевская центральная районная больница"" министерства здравоохранения Краснодарского края","1707","Краснодарский филиал ООО ВТБ МС","31 810","20 108 159,38"
"30009","Государственное бюджетное учреждение здравоохранения ""Кущевская центральная районная больница"" министерства здравоохранения Краснодарского края","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","102","155 012,74"
"30011","Государственное автономное учреждение здравоохранения ""Кущевская стоматологическая поликлиника"" министерства здравоохранения Краснодарского края","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","2 416","2 051 433,98"
"30011","Государственное автономное учреждение здравоохранения ""Кущевская стоматологическая поликлиника"" министерства здравоохранения Краснодарского края","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","8","3 662,38"
"30011","Государственное автономное учреждение здравоохранения ""Кущевская стоматологическая поликлиника"" министерства здравоохранения Краснодарского края","1707","Краснодарский филиал ООО ВТБ МС","1 612","1 485 100,90"
"30011","Государственное автономное учреждение здравоохранения ""Кущевская стоматологическая поликлиника"" министерства здравоохранения Краснодарского края","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","4","2 384,28"
"31004","Государственное бюджетное учреждение здравоохранения ""Ленинградская центральная районная больница"" министерства здравоохраненния Краснодарского края","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","63 626","38 062 480,34"
"31004","Государственное бюджетное учреждение здравоохранения ""Ленинградская центральная районная больница"" министерства здравоохраненния Краснодарского края","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","138","87 821,12"
"31004","Государственное бюджетное учреждение здравоохранения ""Ленинградская центральная районная больница"" министерства здравоохраненния Краснодарского края","1707","Краснодарский филиал ООО ВТБ МС","8 322","6 431 515,18"
"31004","Государственное бюджетное учреждение здравоохранения ""Ленинградская центральная районная больница"" министерства здравоохраненния Краснодарского края","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","226","645 687,46"
"32007","ГБУЗ ""Мостовская центральная районная больница"" МЗ КК","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","58 596","30 393 217,30"
"32007","ГБУЗ ""Мостовская центральная районная больница"" МЗ КК","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","360","152 391,56"
"32007","ГБУЗ ""Мостовская центральная районная больница"" МЗ КК","1707","Краснодарский филиал ООО ВТБ МС","13 402","5 803 854,34"
"32007","ГБУЗ ""Мостовская центральная районная больница"" МЗ КК","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","4 130","1 781 203,74"
"33016","ГБУЗ ""Новокубанская центральная районная больница"" МЗ КК","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","47 888","27 605 123,60"
"33016","ГБУЗ ""Новокубанская центральная районная больница"" МЗ КК","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","216","166 139,00"
"33016","ГБУЗ ""Новокубанская центральная районная больница"" МЗ КК","1707","Краснодарский филиал ООО ВТБ МС","25 612","14 930 845,62"
"33016","ГБУЗ ""Новокубанская центральная районная больница"" МЗ КК","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","114","24 685,90"
"33017","ГБУЗ ""Новокубанская стоматологическая поликлиника"" МЗ КК","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","2 782","2 586 348,90"
"33017","ГБУЗ ""Новокубанская стоматологическая поликлиника"" МЗ КК","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","18","22 157,24"
"33017","ГБУЗ ""Новокубанская стоматологическая поликлиника"" МЗ КК","1707","Краснодарский филиал ООО ВТБ МС","1 454","1 335 377,46"
"33017","ГБУЗ ""Новокубанская стоматологическая поликлиника"" МЗ КК","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","8","7 178,06"
"34001","ГБУЗ ""Новопокровская центральная районная больница"" МЗ КК","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","44 634","24 526 644,32"
"34001","ГБУЗ ""Новопокровская центральная районная больница"" МЗ КК","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","128","26 589,38"
"34001","ГБУЗ ""Новопокровская центральная районная больница"" МЗ КК","1707","Краснодарский филиал ООО ВТБ МС","1 408","802 561,30"
"34001","ГБУЗ ""Новопокровская центральная районная больница"" МЗ КК","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","76","16 661,36"
"35008","ГБУЗ ""Отрадненская центральная районная больница"" МЗ КК","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","33 402","31 188 646,30"
"35008","ГБУЗ ""Отрадненская центральная районная больница"" МЗ КК","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","86","51 239,72"
"35008","ГБУЗ ""Отрадненская центральная районная больница"" МЗ КК","1707","Краснодарский филиал ООО ВТБ МС","1 636","973 883,26"
"35008","ГБУЗ ""Отрадненская центральная районная больница"" МЗ КК","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","3 284","1 462 558,12"
"36011","ГБУЗ Павловская  центральная районная больница","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","52 846","31 742 714,42"
"36011","ГБУЗ Павловская  центральная районная больница","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","224","160 793,78"
"36011","ГБУЗ Павловская  центральная районная больница","1707","Краснодарский филиал ООО ВТБ МС","6 838","4 363 451,50"
"36011","ГБУЗ Павловская  центральная районная больница","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","238","185 469,42"
"36018","ГБУЗ ""Павловская  стоматологическая поликлиника"" МЗ КК","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","4 778","2 495 548,98"
"36018","ГБУЗ ""Павловская  стоматологическая поликлиника"" МЗ КК","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","12","4 914,32"
"36018","ГБУЗ ""Павловская  стоматологическая поликлиника"" МЗ КК","1707","Краснодарский филиал ООО ВТБ МС","648","381 426,12"
"36018","ГБУЗ ""Павловская  стоматологическая поликлиника"" МЗ КК","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","20","8 803,06"
"37003","Муниципальное бюджетное учреждение здравоохранения Приморско-Ахтарского района ""Районная стоматологическая поликлиника","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","2 062","1 834 519,64"
"37003","Муниципальное бюджетное учреждение здравоохранения Приморско-Ахтарского района ""Районная стоматологическая поликлиника","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","16","20 926,98"
"37003","Муниципальное бюджетное учреждение здравоохранения Приморско-Ахтарского района ""Районная стоматологическая поликлиника","1707","Краснодарский филиал ООО ВТБ МС","2","5 200,60"
"37003","Муниципальное бюджетное учреждение здравоохранения Приморско-Ахтарского района ""Районная стоматологическая поликлиника","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","10","7 210,92"
"37019","ГБУЗ ""Приморско-Ахтарская центральная районная больница имени Кравченко Н.Г."" Министерства здравоохранения Краснодарского края","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","44 234","29 848 412,78"
"37019","ГБУЗ ""Приморско-Ахтарская центральная районная больница имени Кравченко Н.Г."" Министерства здравоохранения Краснодарского края","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","176","189 402,88"
"37019","ГБУЗ ""Приморско-Ахтарская центральная районная больница имени Кравченко Н.Г."" Министерства здравоохранения Краснодарского края","1707","Краснодарский филиал ООО ВТБ МС","84","41 420,02"
"37019","ГБУЗ ""Приморско-Ахтарская центральная районная больница имени Кравченко Н.Г."" Министерства здравоохранения Краснодарского края","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","88","50 506,12"
"38006","ГБУЗ ""Северская центральная районная больница"" МЗ КК","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","51 966","24 386 279,18"
"38006","ГБУЗ ""Северская центральная районная больница"" МЗ КК","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","41 106","17 807 220,66"
"38006","ГБУЗ ""Северская центральная районная больница"" МЗ КК","1707","Краснодарский филиал ООО ВТБ МС","366","198 082,30"
"38006","ГБУЗ ""Северская центральная районная больница"" МЗ КК","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","5 576","3 219 086,94"
"38015","ГБУЗ ""Северская районная стоматологическая поликлиника"" МЗ КК","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","2 504","2 119 099,94"
"38015","ГБУЗ ""Северская районная стоматологическая поликлиника"" МЗ КК","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","1 920","1 739 201,44"
"38015","ГБУЗ ""Северская районная стоматологическая поликлиника"" МЗ КК","1707","Краснодарский филиал ООО ВТБ МС","6","8 821,46"
"38015","ГБУЗ ""Северская районная стоматологическая поликлиника"" МЗ КК","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","112","95 396,06"
"39010","Государственное бюджетное учреждение здравоохранения""Староминская центральная районная больница "" министерства здравоохранения Краснодарского края","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","16 976","9 821 796,22"
"39010","Государственное бюджетное учреждение здравоохранения""Староминская центральная районная больница "" министерства здравоохранения Краснодарского края","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","90","9 649,76"
"39010","Государственное бюджетное учреждение здравоохранения""Староминская центральная районная больница "" министерства здравоохранения Краснодарского края","1707","Краснодарский филиал ООО ВТБ МС","23 632","13 019 735,00"
"39010","Государственное бюджетное учреждение здравоохранения""Староминская центральная районная больница "" министерства здравоохранения Краснодарского края","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","32","32 341,12"
"40005","ГБУЗ ""Тбилисская центральная районная больница"" МЗ КК","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","49 774","27 928 760,04"
"40005","ГБУЗ ""Тбилисская центральная районная больница"" МЗ КК","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","120","106 412,74"
"40005","ГБУЗ ""Тбилисская центральная районная больница"" МЗ КК","1707","Краснодарский филиал ООО ВТБ МС","94","45 100,28"
"40005","ГБУЗ ""Тбилисская центральная районная больница"" МЗ КК","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","238","56 984,00"
"41005","ГБУЗ ""Темрюкская центральная районная больница"" МЗ КК","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","60 708","34 828 512,08"
"41005","ГБУЗ ""Темрюкская центральная районная больница"" МЗ КК","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","568","381 399,28"
"41005","ГБУЗ ""Темрюкская центральная районная больница"" МЗ КК","1707","Краснодарский филиал ООО ВТБ МС","2 206","1 562 895,52"
"41005","ГБУЗ ""Темрюкская центральная районная больница"" МЗ КК","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","9 692","5 562 270,96"
"42003","ГБУЗ ""Тимашевская центральная районная больница” Министерства здравоохранения Краснодарского края","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","86 258","53 372 648,66"
"42003","ГБУЗ ""Тимашевская центральная районная больница” Министерства здравоохранения Краснодарского края","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","556","254 192,50"
"42003","ГБУЗ ""Тимашевская центральная районная больница” Министерства здравоохранения Краснодарского края","1707","Краснодарский филиал ООО ВТБ МС","452","636 556,26"
